movie_imdb_id	actor_name	role_name
tt0111161	Tim Robbins	Andy Dufresne
tt0111161	Morgan Freeman	Ellis Boyd 'Red' Redding
tt0111161	Bob Gunton	Warden Norton
tt0111161	William Sadler	Heywood
tt0111161	Clancy Brown	Captain Hadley
tt0111161	Gil Bellows	Tommy Williams
tt0111161	James Whitmore	Brooks Hatlen
tt0111161	Mark Rolston	Bogs Diamond
tt0068646	Marlon Brando	Vito Corleone
tt0068646	Al Pacino	Michael Corleone
tt0068646	James Caan	Sonny Corleone
tt0068646	Robert Duvall	Tom Hagen
tt0068646	Diane Keaton	Kay Adams
tt0068646	Richard S. Castellano	Clemenza
tt0068646	Talia Shire	Connie Corleone
tt0068646	John Marley	Jack Woltz
tt0468569	Christian Bale	Bruce Wayne / Batman
tt0468569	Heath Ledger	The Joker
tt0468569	Aaron Eckhart	Harvey Dent
tt0468569	Gary Oldman	James Gordon
tt0468569	Maggie Gyllenhaal	Rachel Dawes
tt0468569	Michael Caine	Alfred Pennyworth
tt0468569	Morgan Freeman	Lucius Fox
tt0468569	Cillian Murphy	Dr. Jonathan Crane
tt0071562	Al Pacino	Michael Corleone
tt0071562	Robert De Niro	Vito Corleone
tt0071562	Robert Duvall	Tom Hagen
tt0071562	Diane Keaton	Kay Adams-Corleone
tt0071562	Lee Strasberg	Hyman Roth
tt0071562	Frank Forster	Frank Pentangeli
tt0071562	Talia Shire	Connie Corleone
tt0071562	Michael V. Gazzo	Frank Pentangeli's Brother
tt0050083	Henry Fonda	Juror 8
tt0050083	Lee J. Cobb	Juror 3
tt0050083	Martin Balsam	Juror 1
tt0050083	E.G. Marshall	Juror 4
tt0050083	Jack Warden	Juror 7
tt0050083	Ed Begley	Juror 10
tt0050083	Joseph Sweeney	Juror 9
tt0050083	Tony Klugman	Juror 5
tt0108052	Liam Neeson	Oskar Schindler
tt0108052	Ralph Fiennes	Amon Göth
tt0108052	Ben Kingsley	Itzhak Stern
tt0108052	Caroline Goodall	Emilie Schindler
tt0108052	Jonathan Sagall	Poldek Pfefferberg
tt0108052	Embeth Davidtz	Helen Hirsch
tt0108052	Malgoscha Gebel	Victoria Klonowska
tt0108052	Mark Ivanir	Marcel Goldberg
tt0167260	Elijah Wood	Frodo Baggins
tt0167260	Viggo Mortensen	Aragorn
tt0167260	Ian McKellen	Gandalf
tt0167260	Sean Astin	Samwise Gamgee
tt0167260	Orlando Bloom	Legolas
tt0167260	John Rhys-Davies	Gimli
tt0167260	Dominic Monaghan	Merry
tt0167260	Billy Boyd	Pippin
tt0110912	John Travolta	Vincent Vega
tt0110912	Samuel L. Jackson	Jules Winnfield
tt0110912	Uma Thurman	Mia Wallace
tt0110912	Bruce Willis	Butch Coolidge
tt0110912	Harvey Keitel	Winston 'The Wolf' Wolfe
tt0110912	Tim Roth	Pumpkin
tt0110912	Amanda Plummer	Honey Bunny
tt0110912	Maria de Medeiros	Fabienne
tt0120737	Elijah Wood	Frodo Baggins
tt0120737	Ian McKellen	Gandalf
tt0120737	Viggo Mortensen	Aragorn
tt0120737	Sean Bean	Boromir
tt0120737	Sean Astin	Samwise Gamgee
tt0120737	Orlando Bloom	Legolas
tt0120737	John Rhys-Davies	Gimli
tt0120737	Dominic Monaghan	Merry
tt0060196	Clint Eastwood	Blondie
tt0060196	Lee Van Cleef	Angel Eyes
tt0060196	Eli Wallach	Tuco
tt0060196	Aldo Giuffrè	Captain Clinton
tt0060196	Luigi Pistilli	Father Pablo Ramirez
tt0060196	Rada Rassimov	Maria
tt0060196	Enzo Petito	Storekeeper
tt0060196	Claudio Scarchilli	Stoner
tt0109830	Tom Hanks	Forrest Gump
tt0109830	Robin Wright	Jenny Curran
tt0109830	Gary Sinise	Lieutenant Dan Taylor
tt0109830	Sally Field	Mrs. Gump
tt0109830	Mykelti Williamson	Bubba Blue
tt0109830	Haley Joel Osment	Forrest Gump Jr.
tt0109830	Michael Conner Humphreys	Young Forrest
tt0109830	Hanna Hall	Young Jenny
tt1375666	Leonardo DiCaprio	Dom Cobb
tt1375666	Joseph Gordon-Levitt	Arthur
tt1375666	Elliot Page	Ariadne
tt1375666	Tom Hardy	Eames
tt1375666	Ken Watanabe	Saito
tt1375666	Cillian Murphy	Robert Fischer
tt1375666	Michael Caine	Professor Miles
tt1375666	Marion Cotillard	Mal
tt0167261	Elijah Wood	Frodo Baggins
tt0167261	Viggo Mortensen	Aragorn
tt0167261	Ian McKellen	Gandalf
tt0167261	Sean Astin	Samwise Gamgee
tt0167261	Andy Serkis	Gollum
tt0167261	Orlando Bloom	Legolas
tt0167261	John Rhys-Davies	Gimli
tt0167261	Bernard Hill	Theoden
tt0137523	Brad Pitt	Tyler Durden
tt0137523	Edward Norton	The Narrator
tt0137523	Helena Bonham Carter	Marla Singer
tt0137523	Meat Loaf	Robert Paulson
tt0137523	Jared Leto	Angel Face
tt0137523	Zach Grenier	Richard Chesler
tt0137523	Holt McCallany	The Mechanic
tt0137523	Eion Bailey	Ricky
tt0133093	Keanu Reeves	Neo
